1631620801.67045,1272
1631621102.08524,1249
1631621402.36429,1189
1631621701.94679,1315
1631622002.03801,1323
1631622301.72717,1269
1631622602.61236,1328
1631622902.58761,1306
1631623201.9037,1370
1631623502.53104,1363
1631623802.51881,1329
1631624101.80425,1318
1631624402.0844,1295
1631624702.21691,1240
1631625001.87484,1191
1631625302.47561,1117
1631625602.36371,1094
1631625901.87018,1090
1631626201.80083,1022
1631626501.74174,1030
1631626802.39195,1034
1631627101.98217,1038
1631627401.82209,1015
1631627702.46685,995
1631628002.44444,993
1631628302.08307,993
1631628601.67887,998
1631628901.64961,990
1631629202.22069,989
1631629502.58073,986
1631629802.1194,996
1631630101.97331,1005
1631630402.49805,996
1631630702.33934,1012
1631631001.88013,1014
1631631301.64996,1021
1631631602.25034,1001
1631631901.74388,1010
1631632202.59549,1003
1631632501.84809,1007
1631632802.46912,1005
1631633102.38575,991
1631633401.90472,998
1631633701.843,1009
1631634001.89026,1010
1631634301.67723,1041
1631634602.51834,1045
1631634901.75806,1045
